Date,PHU_num,one_or_more_doses_cumulative
2021-08-21,2226,84430
2021-08-21,2227,110035
2021-08-21,2230,516584
2021-08-21,2233,120830
2021-08-21,2234,75357
2021-08-21,2235,141896
2021-08-21,2236,455867
2021-08-21,2237,407700
2021-08-21,2238,119416
2021-08-21,2240,71885
2021-08-21,2241,157608
2021-08-21,2242,89273
2021-08-21,2243,140319
2021-08-21,2244,373016
2021-08-21,2246,345406
2021-08-21,2247,92555
2021-08-21,2249,60241
2021-08-21,2251,788439
2021-08-21,2253,1139883
2021-08-21,2255,107578
2021-08-21,2256,57372
2021-08-21,2257,74260
2021-08-21,2258,150406
2021-08-21,2260,428961
2021-08-21,2261,140722
2021-08-21,2262,114700
2021-08-21,2263,22762
2021-08-21,2265,433601
2021-08-21,2266,225678
2021-08-21,2268,298525
2021-08-21,2270,876861
2021-08-21,3895,2220056
2021-08-21,4913,147629
2021-08-21,5183,102202
2021-08-21,9999,0
2021-08-21,35,284606793
2021-08-22,2226,84472
2021-08-22,2227,110153
2021-08-22,2230,517086
2021-08-22,2233,120870
2021-08-22,2234,75385
2021-08-22,2235,141972
2021-08-22,2236,456321
2021-08-22,2237,408353
2021-08-22,2238,119433
2021-08-22,2240,72066
2021-08-22,2241,157712
2021-08-22,2242,89302
2021-08-22,2243,140419
2021-08-22,2244,373362
2021-08-22,2246,345678
2021-08-22,2247,92584
2021-08-22,2249,60246
2021-08-22,2251,789179
2021-08-22,2253,1141355
2021-08-22,2255,107611
2021-08-22,2256,57420
2021-08-22,2257,74290
2021-08-22,2258,150472
2021-08-22,2260,429340
2021-08-22,2261,140782
2021-08-22,2262,114721
2021-08-22,2263,22763
2021-08-22,2265,434080
2021-08-22,2266,225847
2021-08-22,2268,298939
2021-08-22,2270,877840
2021-08-22,3895,2222617
2021-08-22,4913,147737
2021-08-22,5183,102354
2021-08-22,9999,0
2021-08-22,35,295309554
2021-08-23,2226,84479
2021-08-23,2227,110187
2021-08-23,2230,517454
2021-08-23,2233,120883
2021-08-23,2234,75395
2021-08-23,2235,142061
2021-08-23,2236,456564
2021-08-23,2237,408717
2021-08-23,2238,119464
2021-08-23,2240,72073
2021-08-23,2241,157773
2021-08-23,2242,89313
2021-08-23,2243,140508
2021-08-23,2244,373529
2021-08-23,2246,345897
2021-08-23,2247,92611
2021-08-23,2249,60264
2021-08-23,2251,789733
2021-08-23,2253,1142338
2021-08-23,2255,107634
2021-08-23,2256,57460
2021-08-23,2257,74296
2021-08-23,2258,150498
2021-08-23,2260,429712
2021-08-23,2261,140884
2021-08-23,2262,114732
2021-08-23,2263,22763
2021-08-23,2265,434385
2021-08-23,2266,225914
2021-08-23,2268,299167
2021-08-23,2270,878599
2021-08-23,3895,2224270
2021-08-23,4913,147754
2021-08-23,5183,102378
2021-08-23,9999,0
2021-08-23,35,306019243
2021-08-24,2226,84596
2021-08-24,2227,110325
2021-08-24,2230,518236
2021-08-24,2233,120986
2021-08-24,2234,75530
2021-08-24,2235,142299
2021-08-24,2236,457158
2021-08-24,2237,409424
2021-08-24,2238,119710
2021-08-24,2240,72151
2021-08-24,2241,157902
2021-08-24,2242,89348
2021-08-24,2243,140594
2021-08-24,2244,374003
2021-08-24,2246,346449
2021-08-24,2247,92678
2021-08-24,2249,60332
2021-08-24,2251,790797
2021-08-24,2253,1143673
2021-08-24,2255,107861
2021-08-24,2256,57555
2021-08-24,2257,74375
2021-08-24,2258,150703
